,Ground_truth,Prediction,trial,trial2
0,He rose from his breakfast-nook bench,He iose from his beakfait-noot benh,"
He rose from his breakfast-table bench.",He rose from his breakfast-table bench.
1,"and came into the livingroom , where","and came into He lvingion , where","
and came into Helvington, where","
and came into Helvington, where"
2,Heather and Steve stood aghast at,Heatler and Hene so0d aglan at,"
Heater and Henes stood alone at","
Heater and Henes stood alone at"
3,"his entrance . He came , almost falling","lis entrance . He came , akmon falling","
    His entrance. He came, ackon falling.","
    His entrance. He came, ackon falling."
4,"forward in an ungainly shuffle , neck","forward in an ungainly sluttle , necde","
Forward in an ungainly shuffle, need.","
Forward in an ungainly shuffle, need."
5,"thrust out , arms dangling loosely .","l,no ond , ars langling loosely .","
    No one's arms are dangling loosely.","
    No one's arms were dangling loosely."
6,"Then , abruptly , he drew himself up","Tlen , abmply , le diew licuself up","
Then, simply, led the life itself up.","
Then, simply, he drew himself up."
7,and walked on the very tips of,Ond walked on He nery lips of,"
One walked on the very lips of","
One walked on the very lips of"
8,his toes . He stretched his arms,dis loes . He vtietded lis ovus,"
This lies. He attended his house.","
This loss. He attended his house."
9,"over his head and yawned agape ,","oner his lead and youned agaped ,","
One followed his lead and you opened agape.","
One followed his lead and you gazed agape."
10,drawing-in great breaths that,drawing-in greal bealls 1la1,"
Drawing in great balls of yarn.","
Drawing in great balls of yarn."
11,became great sighs of ecstacy .,becane acet sials otecsiav,"
Became a specialist in otecsiav.","
Became a success otecsiav"
12,""" They have come ! "" he said reverently , gripping his","They have come ! "" he said reverently , gripping his","
They had come! ""He said reverently, gripping his","
They had come! ""He said reverently, gripping his"
13,hands together between his knees and leaning,hands toyether between his knees and leaning,"
Hands clasped together between his knees and leaning.","
hands together between his knees and leaning"
14,"forward . "" Isn't it a glorious thing ! Long awaited","forword . "" In't it a glosions thing ! Long awoited","
""Isn't it a glorious thing! Long awaited.""","
""Isn't it a glorious thing! Long awaited."""
15,"transcendent event , the exalted desire of all","transcendent event , the exalted desire of all","
    Transcendent event, the exalted desire of all.","
    Transcendent event, the exalted desire of all."
16,mankind through all ages ! The Kingdom of the,mankind through all ages ! The kingdon of the,Mankind through all ages! The kingdom of the,Mankind through all ages! The kingdom of the
17,"Mind is at hand ! "" He turned beaming eyes","Mind is at hand ! "" He turned beaming eyes","
Mind is at hand! He turned beaming eyes.","
Mind is at hand! He turned beaming eyes."
18,upward and shook his head slowly from,upward and shook his head slowly from,"
upward and shook his head slowly from side to side.","
upward and shook his head slowly from side to side."
