,index,Ground_truth,Prediction,trial
1,1,Letters Orders and Instructions. December 1755.,Letters Orders and Instructions. December 1755.,"
Letters, Orders, and Instructions. December 1755."
2,2,to go to a place where I am to be commanded,to ge to a place where I am to be commanded,"
To go to a place where I am to be commanded."
3,3,"and directed by another, who can have no","and directed by andther, who can have no","
and directed by another, who can have no"
4,4,"other pretence, than that of having a commis-","other pretence, than that of having a Commis","
other pretense, than that of having a Commission"
5,5,sion from the King.,sion from the VFing.,"
    Decision from the voting."
6,6,We shall suffer very greatly in a little,We shall suffer very greaty in a little,We shall suffer greatly in a little while.
7,7,"time, for want of Clothing for the Soldiers; and none","time, for want of blothing for the Soldiers; and none","
Time, for want of clothing for the soldiers; and none."
8,8,"can be had here, nor in short, I believe in the","can be had here, nor in short, S believe in the","
Can be had here, nor in short, they believe in the"
9,9,Country. Those which Carlyle and Dalton con-,Country. Those which Carlyle and Dalton con-,"
Country. Those which Carlyle and Dalton conjoined."
10,10,"tracted to furnish, we are disappointed in; and","tracted to furmish, we are disappointed in; ane","
    Contracted to furnish, we are disappointed in; one"
11,11,"they say, they have searched all the Stores in","they sy, they hwe. searched all the Storer in","
They say, they have searched all the stores in."
12,12,"Maryland, as well as this part of Virginia, and","Maryland, as wiell as this part of Virginia, and","
Maryland, as well as this part of Virginia, and"
13,13,none are able to furnish Clothes. We have,none are able te furmish blothes. Ae have,"
None are able to furnish clothes. We have"
14,14,sustained inconceivable losses by the commis-,sustained inconceivable lofses by the Commis,"
Sustained inconceivable losses by the Commission"
15,15,saries delays: many of the Carolina Beeves,wsaries delays; many of the Carohina Beeves,"
    Delays werearies; many of the Carolina Beavers"
16,16,"are dead, through poverty and bad manage-","are dead, through poverty and bad manage-","
Are dead, through poverty and bad management."
17,17,ment; and the chief of them are too poor to,ment; and the chief of them are too poor to,"
Ment; and the chief of them are too poor to buy."
18,18,slaughter. Pray make my Compliments,Ilaurghter. Pray make my Compliments,"
Laughter. Please make my compliments."
19,19,to my Friends below; and believe me Vc.,to my Friends belon; and betieve me Ve-,"
To my friends belong; and believe me we."
20,20,G.W.,G.W.,"
George Washington"
21,21,"P.S. The Committee, I believe,",1s. s. The Commite. Velieve.,"
The Committee believe."
22,22,have not yet fixed the pay of,have notyet fixed the pay of,"
Have not yet fixed the pay."
23,23,the Lieutenant Colonel and Major.,the Lieutenant Colonel and Rajor.,"
The Lieutenant Colonel and Major."
24,24,"Pray propose it, and let me know","Inay propose it, and bet me hknow","
Inay propose it, and bet me know."
25,25,their Resolves.,theier Resler.,"
Their Resume."
26,26,Alexandria December 5th. 1755.,Ilexandria December1st. 1755.,"
Alexandria December 1st, 1755."
27,27,"5th To Lieutenant George Frazier,","1st. To Lieutenant George Frcuzier,","
First, to Lieutenant George Frazier."
28,28,at Fredericksburgh.,at Fredercksburgh.,"
At Fredericksburg."
29,29,As a quantity of Salt is wanted at,ts a yuantity of Salt is wanted at,"
A quantity of salt is wanted at."
30,30,"Fort Cumberland for curing the provisions, you","Fort Cumberland for - curing the provisions, you","
Fort Cumberland for procuring the provisions, you"
31,31,must endeavour to purchase it upon the best,must ende averur to purchase it upon the best,"
Must end endeavour to purchase it upon the best."
32,32,terms you can; and I shall fulfil any contract,terms you can; and I shall fulfl any contadt,"
terms you can; and I shall fulfill any contract"
33,33,you may enter into. What I have engaged here,you may enter ints. What Ihave engagedhere,"
You may enter in. What I have engaged here."
34,34,306. Letters Orders and Instructions. Decem. 1755,275.6. Letters Orders and Instructions. Decem 1755.,"
275.6. Letters, Orders, and Instructions. December 1755."
35,35,has been at 2ssl. per bushel. You may procure,has been at 2y. per bushel. You may precure,"
    It has been at $2 per bushel. You may procure."
36,36,"six or eight hundred bushel at that rate,","six or eight hurndred bishels at that rate,","
Six or eight hundred bushels at that rate."
37,37,and see that they are forwarded to Winches-,and see that they a forvarded to Winches-,"
and see that they are forwarded to Winchester."
38,38,ter as expeditiously as possible: in order to do,ter as xpeditiously as possible: in order to de,"
    Proceed as expeditiously as possible: in order to de"
39,39,"this, you must hire and impress waggons:","this, you must hire and impress Waggons.","
This, you must hire and impress Wagons."
40,40,those Horses which were sent round from,those Horses which wre sent round from,"
Those horses which were sent around from."
41,41,"Williamsburgh, are also to go up; and a mili-","Williamsburgh, are also to go up; and a wili-","
Williamsburg, are also to go up; and a will-"
42,42,"tary Chest which Mr. Allen made for me, is","tary Chest which M. eAtlen made for me, is","
    The chest which M. Eaton made for me, is"
